3806344732.357	0.000	297.506	0.000	297.586	297.463	297.392	297.885	297.936	0.000	155.000	166.000	0.000	0.000	155.339	0.000	0.000	297.826	297.037	297.299	297.157	0.000	0.000	0.000	-0.726	5.148	0.468	2.129	-376.802	93.032	0.000	0.100	0.100	757.598	376.800	0.000	0.000	3.849	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344742.357	0.000	297.510	0.000	297.582	297.453	297.387	297.881	297.941	0.000	155.000	166.000	0.000	0.000	155.263	0.000	0.000	297.839	297.038	297.285	297.157	0.000	0.000	0.000	-0.872	-5.142	1.497	2.087	-375.773	92.984	0.000	0.100	0.100	760.795	376.800	0.000	0.000	3.849	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344752.357	0.000	297.511	0.000	297.580	297.450	297.405	297.879	297.799	0.000	155.000	166.000	0.000	0.000	155.416	0.000	0.000	297.830	297.040	297.275	297.154	0.000	0.000	0.000	-0.435	0.003	1.497	2.129	-376.802	92.567	0.000	0.100	0.100	760.795	376.800	0.000	0.000	4.363	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344762.357	0.000	297.516	0.000	297.569	297.456	297.406	297.871	297.795	0.000	155.000	166.000	0.000	0.000	155.263	0.000	0.000	297.830	297.041	297.268	297.161	0.000	0.000	0.000	-0.289	0.003	2.526	2.046	-376.288	93.542	0.000	0.100	0.100	762.394	376.800	0.000	0.000	2.821	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344772.357	0.000	297.529	0.000	297.590	297.472	297.419	297.888	297.804	0.000	155.000	166.000	0.000	0.000	155.339	0.000	0.000	297.842	297.043	297.266	297.166	0.000	0.000	0.000	-0.580	0.003	2.526	2.129	-377.317	92.892	0.000	0.100	0.100	760.795	376.800	0.000	0.000	2.307	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344782.358	0.000	297.511	0.000	297.585	297.460	297.407	297.875	297.798	0.000	155.000	166.000	0.000	0.000	155.186	0.000	0.000	297.839	297.048	297.264	297.167	0.000	0.000	0.000	-0.580	5.148	0.468	2.087	-375.773	93.262	0.000	0.100	0.100	759.197	376.800	0.000	0.000	2.307	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344792.359	0.000	297.514	0.000	297.570	297.458	297.410	297.878	297.881	0.000	155.000	166.000	0.000	0.000	155.339	0.000	0.000	297.843	297.044	297.259	297.170	0.000	0.000	0.000	-0.580	0.003	1.497	2.087	-376.802	92.893	0.000	0.100	0.100	760.795	376.800	0.000	0.000	1.792	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344802.357	0.000	297.536	0.000	297.585	297.476	297.423	297.898	297.799	0.000	155.000	166.000	0.000	0.000	155.339	0.000	0.000	297.852	297.036	297.256	297.178	0.000	0.000	0.000	-0.289	0.003	0.983	2.129	-376.288	93.125	0.000	0.100	0.100	760.795	376.800	0.000	0.000	1.792	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344812.357	0.000	297.530	0.000	297.581	297.464	297.413	297.884	302.073	0.000	155.000	166.000	0.000	0.000	155.263	0.000	0.000	297.851	297.031	297.251	297.179	0.000	0.000	0.000	-0.289	5.148	1.497	2.087	-376.288	93.401	0.000	0.100	0.100	760.795	376.800	0.000	0.000	0.764	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344822.358	0.000	297.541	0.000	297.595	297.473	297.413	297.885	297.841	0.000	155.000	166.000	0.000	0.000	155.263	0.000	0.000	297.857	297.025	297.247	297.185	0.000	0.000	0.000	-0.143	0.003	1.497	2.046	-376.288	92.799	0.000	0.100	0.100	760.795	376.800	0.000	0.000	0.764	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
